Job_Title,Industry/Fields,Company_Size,Location,Sub-Category Fields, Salary_USD ,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,UX/UI Design," $1,11,392.17 ",Growth
Marketing Specialist,Technology,Large,Singapore,Marketing," $93,792.56 ",Decline
AI Researcher,Technology,Large,Singapore,UX/UI Design," $1,07,170.26 ",Growth
Sales Manager,Retail,Small,Berlin,Project Management," $93,027.95 ",Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,JavaScript," $87,752.92 ",Decline
UX Designer,Education,Large,San Francisco,Cybersecurity," $1,02,825.01 ",Growth
HR Manager,Finance,Medium,Singapore,Sales," $1,02,065.72 ",Growth
Cybersecurity Analyst,Technology,Small,Dubai,Machine Learning," $86,607.32 ",Decline
AI Researcher,Retail,Large,London,JavaScript," $75,015.86 ",Stable
Sales Manager,Entertainment,Medium,Singapore,Cybersecurity," $96,834.58 ",Decline
Marketing Specialist,Finance,Small,London,Python," $91,566.97 ",Growth
AI Researcher,Entertainment,Medium,Singapore,UX/UI Design," $78,902.57 ",Growth
AI Researcher,Transportation,Large,San Francisco,Python," $73,151.99 ",Growth
HR Manager,Retail,Small,Paris,Cybersecurity," $98,209.52 ",Decline
Product Manager,Finance,Medium,Singapore,JavaScript," $1,01,001.90 ",Growth
Sales Manager,Telecommunications,Small,Dubai,UX/UI Design," $82,799.36 ",Growth
Software Engineer,Manufacturing,Medium,Singapore,Machine Learning," $78,401.26 ",Decline
AI Researcher,Manufacturing,Large,Tokyo,Project Management," $73,394.90 ",Stable
Product Manager,Finance,Large,San Francisco,UX/UI Design," $97,645.10 ",Stable
Software Engineer,Entertainment,Small,Dubai,UX/UI Design," $73,920.46 ",Growth
Sales Manager,Retail,Medium,Sydney,JavaScript," $1,34,822.69 ",Decline
Data Scientist,Manufacturing,Small,Dubai,JavaScript," $81,794.37 ",Growth
UX Designer,Retail,Small,Tokyo,Cybersecurity," $41,495.71 ",Decline
Product Manager,Manufacturing,Medium,Paris,Data Analysis," $89,396.57 ",Decline
Operations Manager,Transportation,Medium,San Francisco,UX/UI Design," $88,539.33 ",Stable
Data Scientist,Entertainment,Medium,Sydney,Sales," $1,12,234.37 ",Stable
UX Designer,Transportation,Large,Tokyo,UX/UI Design," $95,762.52 ",Decline
HR Manager,Manufacturing,Small,Tokyo,Cybersecurity," $73,323.30 ",Growth
Cybersecurity Analyst,Telecommunications,Small,New York,Marketing," $84,272.16 ",Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Python," $96,548.40 ",Growth
Operations Manager,Transportation,Medium,Dubai,Project Management," $46,705.71 ",Stable
HR Manager,Telecommunications,Large,London,Data Analysis," $1,16,772.43 ",Stable
Sales Manager,Manufacturing,Large,Paris,Machine Learning," $73,376.60 ",Growth
HR Manager,Finance,Large,London,Machine Learning," $1,18,340.88 ",Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Machine Learning," $97,849.30 ",Stable
Sales Manager,Healthcare,Large,Dubai,JavaScript," $1,02,591.88 ",Growth
Operations Manager,Entertainment,Small,San Francisco,Machine Learning," $1,12,988.47 ",Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Project Management," $1,01,462.64 ",Stable
Software Engineer,Telecommunications,Small,New York,Python," $1,03,457.72 ",Stable
Marketing Specialist,Technology,Medium,Sydney,Machine Learning," $86,711.67 ",Growth
Operations Manager,Education,Small,Dubai,UX/UI Design," $97,443.37 ",Decline
Software Engineer,Transportation,Small,London,UX/UI Design," $78,250.04 ",Growth
UX Designer,Energy,Medium,Dubai,JavaScript," $83,131.78 ",Decline
Operations Manager,Telecommunications,Small,New York,Project Management," $1,29,293.90 ",Stable
UX Designer,Entertainment,Large,Singapore,Python," $73,836.13 ",Decline
Sales Manager,Healthcare,Large,Singapore,Data Analysis," $93,086.34 ",Growth
Software Engineer,Telecommunications,Small,Tokyo,Cybersecurity," $92,269.38 ",Growth
Marketing Specialist,Healthcare,Medium,Paris,Python," $83,784.91 ",Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Cybersecurity," $1,00,288.02 ",Decline
AI Researcher,Manufacturing,Medium,Sydney,Marketing," $1,01,794.44 ",Stable
HR Manager,Education,Medium,Toronto,Cybersecurity," $71,483.62 ",Stable
Data Scientist,Finance,Large,Tokyo,Sales," $92,027.13 ",Growth
Marketing Specialist,Energy,Medium,Paris,UX/UI Design," $68,352.65 ",Decline
Software Engineer,Technology,Large,Singapore,Project Management," $1,05,770.97 ",Decline
AI Researcher,Education,Medium,London,Communication," $93,529.75 ",Decline
Marketing Specialist,Retail,Large,Toronto,JavaScript," $91,646.60 ",Decline
Software Engineer,Technology,Small,Paris,Sales," $1,03,180.63 ",Stable
Product Manager,Transportation,Large,Paris,Cybersecurity," $84,489.79 ",Stable
Product Manager,Entertainment,Large,Tokyo,Machine Learning," $1,08,280.44 ",Growth
UX Designer,Retail,Large,Toronto,Project Management," $71,031.10 ",Stable
Marketing Specialist,Retail,Large,San Francisco,Sales," $1,18,237.53 ",Stable
Product Manager,Education,Medium,Berlin,JavaScript," $78,981.78 ",Growth
Software Engineer,Finance,Small,San Francisco,UX/UI Design," $56,076.42 ",Growth
UX Designer,Education,Large,Toronto,Project Management," $83,429.30 ",Growth
Software Engineer,Transportation,Medium,San Francisco,JavaScript," $81,160.64 ",Stable
UX Designer,Telecommunications,Small,New York,Marketing," $83,278.52 ",Stable
Marketing Specialist,Telecommunications,Small,Singapore,Marketing," $94,632.96 ",Growth
AI Researcher,Finance,Small,New York,JavaScript," $1,11,956.85 ",Growth
Cybersecurity Analyst,Transportation,Small,Dubai,Sales," $86,165.88 ",Growth
Operations Manager,Finance,Large,San Francisco,Project Management," $76,167.65 ",Stable
AI Researcher,Healthcare,Large,Dubai,Sales," $67,469.06 ",Stable
Sales Manager,Telecommunications,Medium,London,Data Analysis," $80,636.34 ",Decline
Software Engineer,Retail,Medium,Sydney,Cybersecurity," $52,243.50 ",Stable
Sales Manager,Energy,Medium,London,Data Analysis," $75,497.34 ",Stable
AI Researcher,Entertainment,Small,Toronto,Marketing," $1,14,881.08 ",Stable
UX Designer,Transportation,Small,Paris,UX/UI Design," $73,532.82 ",Growth
Operations Manager,Technology,Large,Singapore,Python," $1,02,574.32 ",Stable
Operations Manager,Finance,Small,San Francisco,Cybersecurity," $65,470.36 ",Growth
Data Scientist,Entertainment,Small,Tokyo,Marketing," $1,25,421.92 ",Decline
Operations Manager,Technology,Small,Sydney,Sales," $1,26,752.13 ",Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Sales," $1,01,820.43 ",Growth
Operations Manager,Energy,Medium,Berlin,Sales," $1,29,825.05 ",Growth
AI Researcher,Technology,Large,Berlin,UX/UI Design," $97,115.86 ",Growth
Data Scientist,Education,Small,San Francisco,Data Analysis," $1,05,370.34 ",Stable
AI Researcher,Manufacturing,Small,Berlin,Python," $1,15,238.68 ",Decline
AI Researcher,Education,Large,New York,Sales," $93,594.37 ",Growth
HR Manager,Telecommunications,Small,Sydney,Communication," $58,952.45 ",Stable
Data Scientist,Manufacturing,Small,New York,Cybersecurity," $1,05,779.27 ",Decline
AI Researcher,Education,Medium,Paris,Project Management," $80,562.81 ",Stable
HR Manager,Manufacturing,Large,Sydney,Communication," $82,049.40 ",Decline
HR Manager,Manufacturing,Large,New York,Python," $95,957.90 ",Stable
Data Scientist,Retail,Large,Sydney,UX/UI Design," $1,01,325.62 ",Decline
Sales Manager,Finance,Large,Paris,Python," $93,002.69 ",Decline
UX Designer,Finance,Medium,Dubai,Project Management," $1,02,714.59 ",Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,Cybersecurity," $75,862.86 ",Growth
UX Designer,Entertainment,Small,San Francisco,Project Management," $89,145.92 ",Decline
Operations Manager,Healthcare,Small,Berlin,JavaScript," $1,06,981.71 ",Growth
Cybersecurity Analyst,Entertainment,Small,London,Cybersecurity," $1,25,455.82 ",Stable
Operations Manager,Technology,Small,Berlin,Python," $1,32,528.71 ",Growth
AI Researcher,Technology,Medium,Toronto,Sales," $98,659.53 ",Growth
Software Engineer,Manufacturing,Large,New York,Python," $1,06,800.20 ",Growth
Data Scientist,Education,Medium,Sydney,Python," $1,29,631.58 ",Growth
Cybersecurity Analyst,Education,Small,London,Cybersecurity," $76,583.28 ",Growth
Cybersecurity Analyst,Finance,Medium,Paris,JavaScript," $1,02,594.00 ",Decline
AI Researcher,Transportation,Large,Toronto,Python," $1,05,366.86 ",Decline
Sales Manager,Entertainment,Large,Paris,Communication," $1,18,957.23 ",Decline
HR Manager,Telecommunications,Medium,San Francisco,Marketing," $67,257.17 ",Stable
AI Researcher,Energy,Medium,San Francisco,Machine Learning," $71,211.88 ",Growth
Product Manager,Education,Medium,Berlin,Machine Learning," $90,427.64 ",Decline
HR Manager,Energy,Small,New York,Python," $97,554.55 ",Stable
Data Scientist,Manufacturing,Medium,London,Communication," $1,12,457.28 ",Decline
HR Manager,Energy,Medium,Singapore,Sales," $1,00,350.88 ",Decline
Sales Manager,Telecommunications,Medium,Toronto,UX/UI Design," $86,971.74 ",Growth
HR Manager,Retail,Large,Toronto,UX/UI Design," $98,329.23 ",Stable
Data Scientist,Telecommunications,Large,Berlin,Cybersecurity," $96,020.89 ",Growth
Sales Manager,Energy,Small,San Francisco,Machine Learning," $1,24,900.33 ",Growth
UX Designer,Telecommunications,Small,Berlin,Python," $93,313.18 ",Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,UX/UI Design," $82,338.33 ",Growth
Cybersecurity Analyst,Manufacturing,Large,London,Python," $98,992.18 ",Stable
Operations Manager,Entertainment,Large,New York,Cybersecurity," $93,969.71 ",Growth
UX Designer,Retail,Medium,Dubai,Machine Learning," $58,580.13 ",Growth
UX Designer,Education,Medium,Tokyo,Project Management," $89,686.96 ",Growth
HR Manager,Technology,Large,Tokyo,Marketing," $87,985.24 ",Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Marketing," $79,122.56 ",Stable
Data Scientist,Technology,Medium,Sydney,UX/UI Design," $1,10,711.67 ",Decline
Marketing Specialist,Manufacturing,Small,London,Marketing," $74,286.41 ",Decline
Marketing Specialist,Retail,Large,Singapore,Project Management," $99,112.37 ",Decline
Sales Manager,Finance,Large,Tokyo,Python," $87,042.86 ",Decline
Cybersecurity Analyst,Education,Medium,London,Cybersecurity," $92,153.90 ",Decline
Cybersecurity Analyst,Healthcare,Large,New York,Project Management," $98,235.73 ",Stable
Marketing Specialist,Finance,Small,Paris,Cybersecurity," $63,848.51 ",Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,Cybersecurity," $93,833.22 ",Decline
HR Manager,Entertainment,Small,San Francisco,Machine Learning," $1,35,778.95 ",Decline
Product Manager,Healthcare,Large,London,Python," $58,864.73 ",Stable
Software Engineer,Telecommunications,Large,New York,Communication," $88,847.84 ",Stable
UX Designer,Energy,Large,Singapore,Marketing," $1,12,464.79 ",Growth
Operations Manager,Healthcare,Large,Dubai,Communication," $96,032.38 ",Stable
Sales Manager,Manufacturing,Large,San Francisco,Machine Learning," $1,03,759.34 ",Growth
Product Manager,Transportation,Small,Dubai,Cybersecurity," $42,486.68 ",Decline
Marketing Specialist,Energy,Medium,Singapore,UX/UI Design," $1,01,964.99 ",Decline
UX Designer,Technology,Small,New York,Marketing," $74,766.24 ",Growth
Cybersecurity Analyst,Education,Large,Tokyo,Marketing," $96,197.55 ",Stable
Operations Manager,Technology,Small,Dubai,Python," $89,411.31 ",Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,JavaScript," $1,35,566.66 ",Stable
Data Scientist,Technology,Large,Berlin,Data Analysis," $1,00,933.91 ",Decline
Data Scientist,Manufacturing,Small,Toronto,Data Analysis," $87,747.52 ",Stable
Operations Manager,Telecommunications,Large,London,Data Analysis," $59,806.14 ",Growth
Operations Manager,Entertainment,Medium,Tokyo,JavaScript," $92,422.94 ",Growth
Marketing Specialist,Education,Large,Dubai,Python," $1,06,464.58 ",Decline
Operations Manager,Technology,Medium,Paris,JavaScript," $88,388.96 ",Stable
HR Manager,Technology,Medium,London,Data Analysis," $79,886.87 ",Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Machine Learning," $78,548.27 ",Stable
Product Manager,Entertainment,Small,Singapore,Project Management," $1,00,702.83 ",Decline
AI Researcher,Finance,Medium,Toronto,Cybersecurity," $1,05,187.76 ",Stable
Operations Manager,Technology,Small,New York,JavaScript," $1,17,224.20 ",Growth
Sales Manager,Manufacturing,Medium,Berlin,Python," $70,100.00 ",Stable
Data Scientist,Transportation,Large,Berlin,Python," $1,00,519.55 ",Decline
HR Manager,Education,Large,Singapore,Communication," $87,565.92 ",Stable
UX Designer,Technology,Medium,Sydney,Project Management," $88,155.32 ",Stable
AI Researcher,Manufacturing,Large,Singapore,UX/UI Design," $98,036.52 ",Growth
Product Manager,Manufacturing,Medium,Sydney,Marketing," $98,153.13 ",Stable
AI Researcher,Education,Large,Sydney,Data Analysis," $1,00,575.36 ",Growth
Operations Manager,Finance,Small,Tokyo,UX/UI Design," $68,850.58 ",Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Communication," $75,003.77 ",Decline
Data Scientist,Transportation,Small,San Francisco,Data Analysis," $1,19,717.37 ",Growth
Data Scientist,Manufacturing,Large,Dubai,Project Management," $85,588.55 ",Growth
UX Designer,Manufacturing,Small,Dubai,Communication," $96,120.29 ",Decline
Marketing Specialist,Manufacturing,Large,New York,Data Analysis," $1,11,093.33 ",Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,Project Management," $99,268.86 ",Decline
Software Engineer,Telecommunications,Medium,Tokyo,Sales," $1,00,930.45 ",Stable
HR Manager,Finance,Medium,San Francisco,UX/UI Design," $1,07,891.55 ",Decline
Data Scientist,Technology,Small,San Francisco,UX/UI Design," $47,666.72 ",Growth
Sales Manager,Manufacturing,Large,Sydney,Marketing," $80,201.00 ",Decline
Data Scientist,Entertainment,Small,Singapore,Project Management," $99,372.12 ",Growth
AI Researcher,Technology,Large,New York,JavaScript," $1,17,752.89 ",Stable
Data Scientist,Finance,Medium,Sydney,Sales," $91,321.91 ",Decline
Data Scientist,Retail,Large,Singapore,Machine Learning," $73,105.67 ",Stable
Software Engineer,Technology,Medium,Dubai,Data Analysis," $73,638.28 ",Growth
Software Engineer,Technology,Large,Sydney,Sales," $1,07,677.22 ",Growth
Product Manager,Energy,Large,London,Project Management," $85,644.53 ",Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,Cybersecurity," $89,856.00 ",Decline
Sales Manager,Energy,Small,Singapore,Data Analysis," $1,02,300.60 ",Decline
Data Scientist,Transportation,Small,New York,Python," $31,969.53 ",Growth
Data Scientist,Telecommunications,Medium,Singapore,UX/UI Design," $1,30,007.35 ",Stable
HR Manager,Telecommunications,Medium,Sydney,Project Management," $75,378.52 ",Stable
Software Engineer,Healthcare,Small,Sydney,Python," $94,838.73 ",Decline
Sales Manager,Education,Medium,Berlin,Marketing," $55,906.06 ",Decline
UX Designer,Education,Small,New York,Communication," $81,549.18 ",Decline
Product Manager,Finance,Large,Paris,Machine Learning," $1,14,893.76 ",Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,Machine Learning," $51,676.66 ",Decline
Marketing Specialist,Technology,Medium,San Francisco,Python," $1,12,524.00 ",Decline
Cybersecurity Analyst,Education,Small,New York,UX/UI Design," $84,526.08 ",Growth
AI Researcher,Manufacturing,Medium,San Francisco,Marketing," $99,743.29 ",Decline
Data Scientist,Entertainment,Medium,New York,Cybersecurity," $1,03,150.49 ",Decline
Product Manager,Technology,Large,New York,UX/UI Design," $98,828.43 ",Stable
AI Researcher,Transportation,Medium,Singapore,Sales," $72,700.99 ",Stable
Sales Manager,Manufacturing,Large,New York,Machine Learning," $82,709.02 ",Growth
Marketing Specialist,Manufacturing,Small,Berlin,Sales," $60,768.88 ",Decline
Software Engineer,Healthcare,Medium,Paris,Data Analysis," $99,835.93 ",Growth
Product Manager,Finance,Large,Sydney,JavaScript," $1,24,041.10 ",Stable
Product Manager,Transportation,Small,Toronto,Project Management," $53,511.18 ",Growth
Data Scientist,Education,Medium,San Francisco,Marketing," $74,767.08 ",Stable
Operations Manager,Healthcare,Small,Sydney,UX/UI Design," $86,364.49 ",Growth
Product Manager,Education,Medium,Toronto,Machine Learning," $93,466.83 ",Growth
HR Manager,Healthcare,Small,Paris,Sales," $1,07,583.53 ",Decline
Marketing Specialist,Healthcare,Small,Paris,Communication," $86,956.00 ",Growth
Marketing Specialist,Healthcare,Large,San Francisco,Data Analysis," $83,680.83 ",Decline
HR Manager,Finance,Small,San Francisco,Project Management," $1,12,062.61 ",Decline
UX Designer,Healthcare,Medium,Paris,Project Management," $1,03,239.91 ",Decline
HR Manager,Retail,Medium,Toronto,UX/UI Design," $1,00,779.56 ",Decline
HR Manager,Entertainment,Large,New York,Marketing," $92,250.31 ",Growth
Marketing Specialist,Education,Medium,Dubai,Cybersecurity," $1,09,663.04 ",Stable
Cybersecurity Analyst,Technology,Medium,London,Communication," $76,873.81 ",Stable
Marketing Specialist,Energy,Medium,Sydney,UX/UI Design," $74,146.11 ",Stable
Operations Manager,Transportation,Small,Singapore,Sales," $1,04,922.02 ",Growth
Data Scientist,Telecommunications,Small,Sydney,JavaScript," $57,499.28 ",Decline
AI Researcher,Finance,Medium,Singapore,Python," $91,843.59 ",Stable
Cybersecurity Analyst,Technology,Large,Toronto,Cybersecurity," $83,668.83 ",Growth
Software Engineer,Manufacturing,Small,Singapore,Marketing," $61,884.91 ",Decline
AI Researcher,Retail,Large,San Francisco,Data Analysis," $71,374.65 ",Stable
Data Scientist,Telecommunications,Medium,Dubai,Cybersecurity," $87,820.48 ",Decline
Operations Manager,Energy,Medium,Dubai,Machine Learning," $1,10,679.27 ",Stable
Operations Manager,Technology,Small,San Francisco,Marketing," $76,940.84 ",Stable
Software Engineer,Telecommunications,Medium,Berlin,JavaScript," $1,14,267.63 ",Stable
Cybersecurity Analyst,Technology,Small,Toronto,Machine Learning," $91,263.58 ",Decline
UX Designer,Retail,Medium,Berlin,Cybersecurity," $1,16,207.69 ",Growth
HR Manager,Energy,Medium,Berlin,Python," $77,910.17 ",Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,Python," $89,023.81 ",Stable
UX Designer,Healthcare,Small,Paris,JavaScript," $97,369.67 ",Decline
Operations Manager,Education,Small,Sydney,Project Management," $86,409.79 ",Growth
Marketing Specialist,Manufacturing,Medium,Paris,Communication," $1,09,060.48 ",Decline
Data Scientist,Healthcare,Medium,London,Data Analysis," $45,848.73 ",Growth
Software Engineer,Finance,Large,Singapore,Project Management," $1,38,448.11 ",Growth
Data Scientist,Entertainment,Small,Paris,Python," $1,07,155.49 ",Decline
Sales Manager,Transportation,Medium,San Francisco,Python," $86,529.36 ",Stable
Sales Manager,Transportation,Medium,Sydney,Sales," $78,953.57 ",Growth
Cybersecurity Analyst,Education,Small,Toronto,Machine Learning," $72,671.59 ",Decline
Operations Manager,Energy,Large,Singapore,Cybersecurity," $1,02,912.31 ",Growth
Operations Manager,Retail,Small,London,Data Analysis," $1,09,899.63 ",Stable
HR Manager,Energy,Large,Paris,JavaScript," $86,749.48 ",Decline
HR Manager,Retail,Medium,London,Cybersecurity," $1,12,139.81 ",Decline
HR Manager,Energy,Large,Toronto,Sales," $71,854.80 ",Decline
Marketing Specialist,Entertainment,Medium,Berlin,Python," $68,323.78 ",Stable
AI Researcher,Finance,Small,Dubai,JavaScript," $1,26,266.82 ",Growth
Product Manager,Finance,Small,Toronto,Python," $1,01,822.17 ",Decline
AI Researcher,Healthcare,Small,Tokyo,Data Analysis," $1,17,936.96 ",Growth
Data Scientist,Telecommunications,Large,Toronto,Machine Learning," $72,921.21 ",Growth
AI Researcher,Finance,Medium,London,Cybersecurity," $71,529.49 ",Stable
Marketing Specialist,Finance,Small,San Francisco,Cybersecurity," $82,827.81 ",Decline
Data Scientist,Manufacturing,Small,Sydney,Project Management," $73,518.82 ",Growth
AI Researcher,Manufacturing,Medium,San Francisco,JavaScript," $1,04,107.30 ",Decline
Marketing Specialist,Healthcare,Small,London,Communication," $74,977.48 ",Decline
Product Manager,Telecommunications,Medium,Sydney,Sales," $66,566.60 ",Stable
AI Researcher,Education,Medium,Tokyo,Communication," $92,840.31 ",Decline
Marketing Specialist,Manufacturing,Medium,Dubai,Project Management," $64,200.28 ",Decline
HR Manager,Education,Medium,Singapore,Data Analysis," $54,010.72 ",Growth
Operations Manager,Technology,Medium,London,Sales," $92,665.14 ",Stable
HR Manager,Manufacturing,Large,Paris,Machine Learning," $55,015.60 ",Decline
Operations Manager,Entertainment,Small,London,Communication," $1,05,505.59 ",Growth
Software Engineer,Telecommunications,Large,London,Machine Learning," $62,093.33 ",Stable
Software Engineer,Healthcare,Small,Sydney,Communication," $45,186.52 ",Stable
